schema_version,destination_id,airport_id,tourism_rank,tourism_score,destination_name,weather_region,season,airport_filter,best_highlight,best_highlight_type,best_access_mode,best_access_minutes,best_distance_km,city_status,beach_status,lake_status,mountain_status,wellness_status,transfer_default,transfer_minutes,tourism_comment,tourism_confidence,source_tourism,data_checked_at
1.2,LOWZ,LOWZ,1,10,Zell am See,Nordalpen,Ganzjährig,Passt,Strandbad Seespitz,See,Fahrrad,12,2.22,Nein,Nein,Ja,Ja,Ja,Taxi/Bus/Bike direkt,10,"Musterziel für See, Berge und Wellness.",hoch,https://www.zellamsee-kaprun.com/en,2026-08-02
1.2,EHTX,EHTX,2,9.9,Texel,Nordsee/Ostsee,Sommer/Herbst,Passt,Strand Paal 17 De Koog,Strand,Fahrrad,39,7.53,Nein,Ja,Nein,Nein,Nein,Fahrrad direkt,0,"Strand per Fahrrad; Wattenmeer liegt näher, gewertet wird ein nutzbarer Sandstrand.",mittel,https://www.texel.net/en/,2026-08-02
1.2,LJPZ,LJPZ,3,9.8,Izola / Piran,Adria,Frühling–Herbst,Passt,Plaža Portorož,Strand,Fahrrad,24,4.62,Nein,Ja,Nein,Nein,Ja,Taxi/E-Bike/Mietwagen direkt,0,Küste und ausgeprägtes Wellnessprofil direkt erreichbar.,hoch,https://www.portoroz.si/en/,2026-08-02
1.2,EDXO,EDXO,4,9.7,St. Peter-Ording,,,aktiv – Qualitätsliste,Dünen-Therme,Wellness,Fahrrad,28,5.36,Nein,Ja,Nein,Nein,Ja,Fahrrad direkt,,Strand und Wellness sind Kern des Reiseziels.,hoch,https://www.st-peter-ording.de/,2026-08-02
1.2,LFAT,LFAT,5,9.7,Le Touquet,,,aktiv – Qualitätsliste,Plage Le Touquet,Strand,Fahrrad,16,3.03,Nein,Ja,Nein,Nein,Ja,Fahrrad direkt,,Flugplatznahes Strand- und Wellnessziel.,hoch,https://www.letouquet.com/,2026-08-02
1.2,LIPV,LIPV,6,9.6,Venedig / Lido,,,aktiv – Qualitätsliste,Spiaggia Lido di Venezia,Strand,Fahrrad,9,1.82,Nein,Ja,Nein,Nein,Nein,Fahrrad in der Umgebung,,Nordteil des Lido; Strandzugang zu Fuß innerhalb des Grenzwerts.,mittel,https://www.veneziaunica.it/,2026-08-02
1.2,LJBL,LJBL,7,9.5,Bled / Radovljica,Julische Alpen,Frühling–Herbst,Passt,"Rikli Balance Hotel, Bled",Wellness,Fahrrad,26,5.04,Nein,Nein,Ja,Ja,Ja,Taxi,15,Starkes Dreifachprofil.,hoch,https://www.bled.si/en/,2026-08-02
1.2,EHMZ,EHMZ,8,9.4,Midden-Zeeland / Veerse Meer,Nordsee/Ostsee,Sommer/Herbst,Passt,Nollestrand Vlissingen,Strand,Auto,22,14.2,Nein,Ja,Ja,Nein,Nein,Fahrrad/Mietwagen direkt,0,Veerse Meer eindeutig; Nordseestrand/Vrouwenpolder ist auf Nutzerentscheidung als innerhalb des Flybook-Kriteriums freigegeben.,hoch,https://www.zeeland.com/en/visit,2026-08-02
1.2,LOIJ,LOIJ,9,9.4,St. Johann in Tirol,Nordalpen,Ganzjährig,Passt,Alpenhotel Kaiserfels,Wellness,zu Fuß,8,0.54,Nein,Nein,Ja,Ja,Ja,Taxi / Ort nah,10,Alle drei touristischen Profile liegen klar im Nahbereich.,hoch,https://www.kitzbueheler-alpen.com/en/stjo/,2026-08-02
1.2,LSZL,LSZL,10,9.4,Locarno,Alpen/Schweiz,Frühling–Herbst,Passt,Termali Salini Locarno,Wellness,Fahrrad,30,5.8,Nein,Nein,Ja,Ja,Ja,Bus/Taxi,20,"See, Bergbahn und hochwertiges Wellnessangebot dicht beieinander.",hoch,https://www.ascona-locarno.com/en,2026-08-02
